ID,Place (x),Knowledge (y),Action (z),Country
5510,-0.5,0,0.25,France
5512,-0.1875,-0.0625,0.125,France
5515,-0.25,-0.1875,-0.0625,France
5517,-0.3125,0,-0.125,France
5518,-0.0625,0.375,-0.3125,France
5520,-1,0.25,0.3125,France
5521,-0.1875,0.4375,0.4375,USA
5525,0.0625,-0.1875,-0.1875,France
5526,-0.125,-0.125,-0.1875,France
5532,0.0625,0.0625,0.125,France
5535,0.0625,0.125,0,France
5536,-0.5,-0.125,-0.125,France
5538,0,0,0,France
5539,0,-0.0625,-0.1875,France
5541,0.0625,0.1875,0.1875,France
5542,0,-0.1875,0.5625,USA
5543,-0.25,0.25,0.0625,France
5544,0,0.25,-0.5,France
5547,-0.125,0.1875,0,France
5548,-0.4375,-0.0625,-0.0625,France
5549,-0.125,-0.25,-0.3125,France
5550,0.125,0.3125,0.0625,France
5552,0,0.1875,-0.375,France
5553,0.0625,0.125,-0.0625,France
5554,-0.0625,-0.125,0.0625,France
5555,-0.1875,0.125,-0.0625,France
5556,0,-0.1875,0.0625,France
5557,-0.125,0.1875,-0.125,France
5558,0.1875,-0.125,-0.1875,France
5559,-0.1875,-0.0625,0.375,USA
5561,0.0625,-0.125,0.0625,USA
5563,0,0.3125,0.1875,France
5571,-0.125,0.125,0.1875,India
5576,-0.625,-0.625,0.4375,USA
5593,-0.0625,-0.0625,0.375,USA
5598,-0.75,-0.0625,-0.5,India
5601,-0.0625,0.1875,0.4375,France
5648,0.0625,-0.125,-0.0625,France
5668,-0.5625,0.3125,0.125,France
5674,0.0625,-0.1875,0.0625,India
5694,-0.3125,-0.125,0.4375,USA
5695,-0.375,-0.1875,-0.3125,USA
5698,-0.5,-0.4375,-0.3125,USA
5704,-0.4375,-0.125,-0.1875,USA
5718,-0.4375,0,0.125,USA
5725,-0.1875,-0.25,-0.25,USA
5727,-0.375,-0.5,0.5625,USA
5737,-0.375,-0.375,0.3125,USA
5745,0.3125,-0.125,0,USA
5746,-0.5,-0.4375,0.9375,USA
5749,-0.1875,-0.25,0.75,USA
5770,-0.4375,-0.1875,0,USA
5825,-0.1875,0.3125,0.4375,India
5831,-0.25,0.5625,0.1875,France
5835,0.125,0.5,0.375,USA
5844,-0.375,0.1875,0.125,USA
5852,-0.375,0,-0.1875,USA
5853,-0.375,-0.1875,0.4375,USA
5864,-0.3125,0.3125,-0.1875,USA
5879,-0.0625,-0.0625,0.4375,USA
5887,-0.4375,-0.25,0.125,USA
5888,-0.25,0.4375,0.6875,USA
5889,-0.125,0,-0.1875,USA
5891,-0.375,0.3125,0.5,USA
5895,-0.25,0.4375,0.75,USA
5897,-0.4375,0.0625,-0.0625,USA
5899,-0.125,-0.1875,1,USA
5902,-0.4375,0.0625,0.5625,USA
5905,-0.5,0.0625,0.5,USA
5907,-0.0625,-0.125,0.5,USA
5908,-0.25,0.0625,0.5,USA
5910,-0.4375,-0.3125,-0.1875,USA
5912,-0.125,-0.1875,-0.125,USA
5913,-0.25,0.0625,0.75,USA
5914,0.0625,0.1875,0.5625,USA
5917,-0.5,-0.0625,0,USA
5918,-0.125,0.125,0.4375,USA
5919,-0.0625,0,0.5,USA
5929,-0.0625,-0.1875,0.8125,USA
5932,-0.1875,0.3125,0.5,USA
5939,-0.125,0.25,0.8125,USA
5940,-0.5625,-0.4375,0.25,USA
5944,-0.375,0.125,0.0625,USA
5946,-0.5625,0.1875,0.1875,USA
5947,0,0.4375,0.75,USA
5948,-0.4375,-0.8125,1,USA
5952,-0.125,0.75,0.3125,USA
5956,-0.25,0.1875,0.25,USA
5958,-0.1875,0.1875,1,USA
5959,-0.3125,0.125,0.0625,USA
5960,-0.1875,0.1875,-0.25,USA
5964,-0.625,-0.9375,0,USA
5967,0.25,0.8125,0.6875,USA
5969,0.0625,0.3125,0.75,USA
5970,-0.375,0.0625,0.875,USA
5972,-0.1875,-0.1875,-0.0625,USA
5974,-0.4375,0.125,-0.0625,USA
5977,-0.0625,-0.25,0.5625,USA
5980,-0.0625,0.25,0.3125,USA
5983,-0.5625,-0.0625,0.0625,USA
5988,0.625,0.4375,0.625,USA
5989,0.0625,0.8125,0.9375,USA
5992,-0.375,-0.1875,0.8125,USA
5993,-0.375,-0.0625,0.3125,USA
